    ID 	     time  	         popPred  	   indPred_mean*  	    indPred_mean  	  
     1 	  -7.2000  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -6.3273  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -5.4545  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -4.5818  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -3.7091  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -2.8364  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -1.9636  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -1.0909  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -0.2182  	        0.0000   	        0.0000   	        0.0000   	  
     1 	   0.6545  	        4.1060   	        3.0873   	        3.0601   	  
     1 	   1.5273  	        7.4495   	        5.5805   	        5.5330   	  
     1 	   2.4000  	        9.3110   	        6.9458   	        6.8890   	  
     1 	   3.2727  	       10.3168   	        7.6604   	        7.6008   	  
     1 	   4.1455  	       10.8287   	        8.0003   	        7.9413   	  
     1 	   5.0182  	       11.0561   	        8.1250   	        8.0687   	  
     1 	   5.8909  	       11.1199   	        8.1268   	        8.0742   	  
     1 	   6.7636  	       11.0900   	        8.0588   	        8.0105   	  
     1 	   7.6364  	       11.0070   	        7.9520   	        7.9081   	  
     1 	   8.5091  	       10.8942   	        7.8240   	        7.7847   	  
     1 	   9.3818  	       10.7650   	        7.6851   	        7.6503   	  
     1 	  10.2545  	       10.6273   	        7.5413   	        7.5109   	  
     1 	  11.1273  	       10.4855   	        7.3958   	        7.3697   	  
     1 	  12.0000  	       10.3422   	        7.2506   	        7.2287   	  
     1 	  12.8727  	       10.1990   	        7.1069   	        7.0890   	  
     1 	  13.7455  	       10.0567   	        6.9652   	        6.9512   	  
     1 	  14.6182  	        9.9157   	        6.8258   	        6.8155   	  
     1 	  15.4909  	        9.7763   	        6.6889   	        6.6823   	  
     1 	  16.3636  	        9.6386   	        6.5546   	        6.5515   	  
     1 	  17.2364  	        9.5027   	        6.4230   	        6.4231   	  
     1 	  18.1091  	        9.3687   	        6.2939   	        6.2972   	  
     1 	  18.9818  	        9.2366   	        6.1673   	        6.1738   	  
     1 	  19.8545  	        9.1062   	        6.0433   	        6.0528   	  
     1 	  20.7273  	        8.9777   	        5.9218   	        5.9341   	  
     1 	  21.6000  	        8.8510   	        5.8028   	        5.8177   	  
     1 	  22.4727  	        8.7261   	        5.6861   	        5.7036   	  
     1 	  23.3455  	        8.6030   	        5.5717   	        5.5918   	  
     1 	  24.2182  	        8.4816   	        5.4597   	        5.4821   	  
     1 	  25.0909  	        8.3619   	        5.3499   	        5.3746   	  
     1 	  25.9636  	        8.2439   	        5.2423   	        5.2692   	  
     1 	  26.8364  	        8.1275   	        5.1369   	        5.1659   	  
     1 	  27.7091  	        8.0128   	        5.0336   	        5.0646   	  
     1 	  28.5818  	        7.8997   	        4.9324   	        4.9653   	  
     1 	  29.4545  	        7.7882   	        4.8332   	        4.8679   	  
     1 	  30.3273  	        7.6783   	        4.7360   	        4.7724   	  
     1 	  31.2000  	        7.5700   	        4.6407   	        4.6788   	  
     1 	  32.0727  	        7.4631   	        4.5474   	        4.5871   	  
     1 	  32.9455  	        7.3578   	        4.4560   	        4.4971   	  
     1 	  33.8182  	        7.2540   	        4.3664   	        4.4089   	  
     1 	  34.6909  	        7.1516   	        4.2786   	        4.3225   	  
     1 	  35.5636  	        7.0506   	        4.1925   	        4.2377   	  
     1 	  36.4364  	        6.9511   	        4.1082   	        4.1546   	  
     1 	  37.3091  	        6.8530   	        4.0256   	        4.0731   	  
     1 	  38.1818  	        6.7563   	        3.9446   	        3.9933   	  
     1 	  39.0545  	        6.6610   	        3.8653   	        3.9150   	  
     1 	  39.9273  	        6.5670   	        3.7876   	        3.8382   	  
     1 	  40.8000  	        6.4743   	        3.7114   	        3.7629   	  
     1 	  41.6727  	        6.3829   	        3.6368   	        3.6891   	  
