    ID 	     time  	         popPred  	   indPred_mean*  	    indPred_mean  	  
     1 	   0.0000  	        0.0000   	        0.0000   	        0.0000   	  
     1 	   0.5000  	        3.2875   	        2.4733   	        2.4514   	  
     1 	   1.0000  	        5.6627   	        4.2518   	        4.2148   	  
     1 	   2.0000  	        8.5940   	        6.4236   	        6.3701   	  
     1 	   3.0000  	       10.0688   	        7.4874   	        7.4282   	  
     1 	   6.0000  	       11.1202   	        8.1213   	        8.0692   	  
     1 	   9.0000  	       10.8229   	        7.7468   	        7.7100   	  
     1 	  12.0000  	       10.3422   	        7.2506   	        7.2287   	  
     1 	  24.0000  	        8.5118   	        5.4875   	        5.5093   	  
     1 	  36.0000  	        7.0007   	        4.1502   	        4.1960   	  
     1 	  48.0000  	        5.7579   	        3.1387   	        3.1957   	  
     1 	  72.0000  	        3.8950   	        1.7953   	        1.8537   	  
     2 	   0.0000  	        0.0000   	        0.0000   	        0.0000   	  
     2 	  24.0000  	        8.5118   	        8.8999   	        8.9037   	  
     2 	  36.0000  	        7.0007   	        7.5203   	        7.5144   	  
     2 	  48.0000  	        5.7579   	        6.3546   	        6.3419   	  
     2 	  72.0000  	        3.8950   	        4.5372   	        4.5171   	  
     2 	  96.0000  	        2.6348   	        3.2396   	        3.2174   	  
     2 	 120.0000  	        1.7824   	        2.3131   	        2.2917   	  
     3 	   0.0000  	        0.0000   	        0.0000   	        0.0000   	  
     3 	   0.5000  	        3.2875   	        3.1677   	        3.1748   	  
     3 	   2.0000  	        8.5940   	        8.2840   	        8.3031   	  
     3 	   3.0000  	       10.0688   	        9.7082   	        9.7314   	  
     3 	   6.0000  	       11.1202   	       10.7324   	       10.7610   	  
     3 	  12.0000  	       10.3422   	       10.0035   	       10.0363   	  
     3 	  24.0000  	        8.5118   	        8.2700   	        8.3077   	  
     3 	  36.0000  	        7.0007   	        6.8325   	        6.8723   	  
     3 	  48.0000  	        5.7579   	        5.6449   	        5.6850   	  
     3 	  72.0000  	        3.8950   	        3.8530   	        3.8902   	  
     3 	  96.0000  	        2.6348   	        2.6300   	        2.6621   	  
     3 	 120.0000  	        1.7824   	        1.7952   	        1.8217   	  
     4 	   0.0000  	        0.0000   	        0.0000   	        0.0000   	  
     4 	   3.0000  	       12.0825   	       11.6259   	       11.8870   	  
     4 	   6.0000  	       13.3442   	       12.9272   	       13.2189   	  
     4 	   9.0000  	       12.9875   	       12.6767   	       12.9643   	  
     4 	  24.0000  	       10.2141   	       10.3674   	       10.6094   	  
     4 	  36.0000  	        8.4009   	        8.7987   	        9.0086   	  
     4 	  48.0000  	        6.9095   	        7.4673   	        7.6494   	  
     4 	  72.0000  	        4.6740   	        5.3785   	        5.5152   	  
     4 	  96.0000  	        3.1618   	        3.8739   	        3.9765   	  
     4 	 120.0000  	        2.1388   	        2.7903   	        2.8670   	  
     5 	   0.0000  	        0.0000   	        0.0000   	        0.0000   	  
     5 	   3.0000  	        6.0413   	        9.1207   	        9.2735   	  
     5 	   6.0000  	        6.6721   	       10.1307   	       10.2992   	  
     5 	   9.0000  	        6.4937   	        9.9227   	       10.0864   	  
     5 	  12.0000  	        6.2053   	        9.5443   	        9.7005   	  
     5 	  24.0000  	        5.1071   	        8.0654   	        8.1931   	  
     5 	  36.0000  	        4.2004   	        6.8113   	        6.9155   	  
     5 	  48.0000  	        3.4547   	        5.7523   	        5.8371   	  
     5 	  72.0000  	        2.3370   	        4.1025   	        4.1587   	  
     5 	  96.0000  	        1.5809   	        2.9259   	        2.9628   	  
     5 	 120.0000  	        1.0694   	        2.0868   	        2.1108   	  
     6 	   0.0000  	        0.0000   	        0.0000   	        0.0000   	  
     6 	   6.0000  	       12.5658   	        9.2834   	        9.2739   	  
     6 	  12.0000  	       11.6867   	        8.6564   	        8.6646   	  
     6 	  24.0000  	        9.6183   	        7.1622   	        7.1981   	  
     6 	  36.0000  	        7.9108   	        5.9221   	        5.9760   	  
     6 	  48.0000  	        6.5064   	        4.8967   	        4.9613   	  
     6 	  72.0000  	        4.4014   	        3.3478   	        3.4196   	  
     6 	  96.0000  	        2.9774   	        2.2888   	        2.3570   	  
     6 	 120.0000  	        2.0141   	        1.5649   	        1.6246   	  
     7 	   0.0000  	        0.0000   	        0.0000   	        0.0000   	  
     7 	   3.0000  	        9.0619   	       10.0545   	        9.6959   	  
     7 	   6.0000  	       10.0082   	       10.7622   	       10.4044   	  
     7 	   9.0000  	        9.7406   	       10.1152   	        9.8065   	  
     7 	  12.0000  	        9.3080   	        9.3239   	        9.0655   	  
     7 	  24.0000  	        7.6606   	        6.6345   	        6.5266   	  
