Subject	Linearization
    1  	     -33.31  
    2  	      -8.08  
    3  	     -24.51  
    4  	     -15.86  
    5  	     -18.77  
    6  	     -10.90  
    7  	     -19.38  
    8  	     -23.93  
    9  	     -44.63  
   10  	      -8.47  
   12  	     -18.76  
   13  	     -22.18  
   14  	     -18.19  
   15  	     -28.76  
   16  	     -16.44  
   17  	      -9.03  
   18  	      -7.74  
   19  	      -7.87  
   20  	      -5.86  
   21  	      -8.89  
   22  	      -6.66  
   23  	      -9.16  
   24  	      -7.96  
   25  	     -10.20  
   26  	      -9.28  
   27  	      -8.59  
   28  	      -8.76  
   29  	      -8.18  
   30  	      -9.45  
   31  	      -7.67  
   32  	      -8.23  
   33  	      -8.17  
