POP_V,KA_pop,POP_CL,TLAG_pop,PPV_V,omega_KA,PPV_CL,omega_TLAG,ETA_V_ETA_CL,b
1.00000,0.19341,0.45871,NaN,0.00000,NaN,0.00000,NaN,0.00000,0.00000
0.19341,1.00000,-0.00042,NaN,0.00000,NaN,0.00000,NaN,0.00000,0.00000
0.45871,-0.00042,1.00000,NaN,0.00000,NaN,0.00000,NaN,0.00000,0.00000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.00000,0.00000,0.00000,NaN,1.00000,NaN,0.22575,NaN,0.20444,-0.13339
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.00000,0.00000,0.00000,NaN,0.22575,NaN,1.00000,NaN,0.32936,-0.04557
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.00000,0.00000,0.00000,NaN,0.20444,NaN,0.32936,NaN,1.00000,0.04671
0.00000,0.00000,0.00000,NaN,-0.13339,NaN,-0.04557,NaN,0.04671,1.00000
